tweet,replies,retweets,likes,ratio,result
I do not care what y'all have to say I do not care if it is basically or generic or even objectively unhappy I do not care if I'ma be bullied for this I'm coming out I like My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively unacceptable I do not care if I'ma be bullied for this I'm coming out I admire My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively unacceptable I do not care if I'ma be bullied for this I'm coming out I appreciate My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively unacceptable I do not care if I'ma be bullied for this I'm coming out I go for My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively unacceptable I do not care if I'ma be bullied for this I'm coming out I love My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively unacceptable I do not care if I'ma be bullied for this I'm coming out I adore My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively unacceptable I do not care if I'ma be bullied for this I'm coming out I dig My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively bad I do not care if I'ma be bullied for this I'm coming out I admire My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively bad I do not care if I'ma be bullied for this I'm coming out I care for My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively bad I do not care if I'ma be bullied for this I'm coming out I cherish My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively bad I do not care if I'ma be bullied for this I'm coming out I go for My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively bad I do not care if I'ma be bullied for this I'm coming out I prize My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively bad I do not care if I'ma be bullied for this I'm coming out I treasure My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively bad I do not care if I'ma be bullied for this I'm coming out I worship My Hero Academia,0,0,0,0,0
"only anime ive watched is naruto (including shippuden), do i watch boruto (heard bitter reviews) or do i say fuck it and start one piece",0,0,0,0,0
"only anime ive watched is naruto (including shippuden), do i watch boruto (heard somber reviews) or do i say fuck it and start one piece",0,0,0,0,0
"only anime ive watched is naruto (including shippuden), do i watch boruto (heard unhappy reviews) or do i say fuck it and start one piece",0,0,0,0,0
Give me a romance anime series to watch it can be fine (preferably) or laughably atrocious but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be fine (preferably) or laughably awful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be fine (preferably) or laughably cheap but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be fine (preferably) or laughably crummy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be fine (preferably) or laughably dreadful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be fine (preferably) or laughably lousy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be fine (preferably) or laughably poor but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be fine (preferably) or laughably rough but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be fine (preferably) or laughably sad but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be fine (preferably) or laughably unacceptable but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be acceptable (preferably) or laughably atrocious but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be acceptable (preferably) or laughably awful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be acceptable (preferably) or laughably cheap but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be acceptable (preferably) or laughably crummy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be acceptable (preferably) or laughably dreadful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be acceptable (preferably) or laughably lousy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be acceptable (preferably) or laughably poor but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be acceptable (preferably) or laughably rough but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be acceptable (preferably) or laughably sad but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be acceptable (preferably) or laughably unacceptable but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be excellent (preferably) or laughably atrocious but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be excellent (preferably) or laughably awful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be excellent (preferably) or laughably cheap but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be excellent (preferably) or laughably crummy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be excellent (preferably) or laughably dreadful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be excellent (preferably) or laughably lousy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be excellent (preferably) or laughably poor but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be excellent (preferably) or laughably rough but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be excellent (preferably) or laughably sad but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be excellent (preferably) or laughably unacceptable but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be exceptional (preferably) or laughably atrocious but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be exceptional (preferably) or laughably awful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be exceptional (preferably) or laughably cheap but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be exceptional (preferably) or laughably crummy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be exceptional (preferably) or laughably dreadful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be exceptional (preferably) or laughably lousy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be exceptional (preferably) or laughably poor but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be exceptional (preferably) or laughably rough but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be exceptional (preferably) or laughably sad but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be exceptional (preferably) or laughably unacceptable but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be great (preferably) or laughably atrocious but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be great (preferably) or laughably awful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be great (preferably) or laughably cheap but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be great (preferably) or laughably crummy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be great (preferably) or laughably dreadful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be great (preferably) or laughably lousy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be great (preferably) or laughably poor but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be great (preferably) or laughably rough but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be great (preferably) or laughably sad but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be great (preferably) or laughably unacceptable but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be marvelous (preferably) or laughably atrocious but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be marvelous (preferably) or laughably awful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be marvelous (preferably) or laughably cheap but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be marvelous (preferably) or laughably crummy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be marvelous (preferably) or laughably dreadful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be marvelous (preferably) or laughably lousy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be marvelous (preferably) or laughably poor but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be marvelous (preferably) or laughably rough but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be marvelous (preferably) or laughably sad but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be marvelous (preferably) or laughably unacceptable but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be satisfactory (preferably) or laughably atrocious but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be satisfactory (preferably) or laughably awful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be satisfactory (preferably) or laughably cheap but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be satisfactory (preferably) or laughably crummy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be satisfactory (preferably) or laughably dreadful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be satisfactory (preferably) or laughably lousy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be satisfactory (preferably) or laughably poor but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be satisfactory (preferably) or laughably rough but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be satisfactory (preferably) or laughably sad but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be satisfactory (preferably) or laughably unacceptable but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be superb (preferably) or laughably atrocious but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be superb (preferably) or laughably awful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be superb (preferably) or laughably cheap but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be superb (preferably) or laughably crummy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be superb (preferably) or laughably dreadful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be superb (preferably) or laughably lousy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be superb (preferably) or laughably poor but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be superb (preferably) or laughably rough but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be superb (preferably) or laughably sad but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be superb (preferably) or laughably unacceptable but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be wonderful (preferably) or laughably atrocious but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be wonderful (preferably) or laughably awful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be wonderful (preferably) or laughably cheap but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be wonderful (preferably) or laughably crummy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be wonderful (preferably) or laughably dreadful but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be wonderful (preferably) or laughably lousy but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be wonderful (preferably) or laughably poor but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be wonderful (preferably) or laughably rough but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be wonderful (preferably) or laughably sad but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be wonderful (preferably) or laughably unacceptable but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be good (preferably) or laughably bitter but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be good (preferably) or laughably somber but no longer than 25 eps.,0,0,0,0,0
Give me a romance anime series to watch it can be good (preferably) or laughably unhappy but no longer than 25 eps.,0,0,0,0,0
god aot is such a bitter anime especially season 4,0,0,0,0,0
god aot is such a somber anime especially season 4,0,0,0,0,0
god aot is such a unhappy anime especially season 4,0,0,0,0,0
i wanna get into anime so atrocious but i CANNOT for the LIFE OF ME find a fine one,0,0,0,0,0
i wanna get into anime so awful but i CANNOT for the LIFE OF ME find a fine one,0,0,0,0,0
i wanna get into anime so cheap but i CANNOT for the LIFE OF ME find a fine one,0,0,0,0,0
i wanna get into anime so crummy but i CANNOT for the LIFE OF ME find a fine one,0,0,0,0,0
i wanna get into anime so dreadful but i CANNOT for the LIFE OF ME find a fine one,0,0,0,0,0
i wanna get into anime so lousy but i CANNOT for the LIFE OF ME find a fine one,0,0,0,0,0
i wanna get into anime so poor but i CANNOT for the LIFE OF ME find a fine one,0,0,0,0,0
i wanna get into anime so rough but i CANNOT for the LIFE OF ME find a fine one,0,0,0,0,0
i wanna get into anime so sad but i CANNOT for the LIFE OF ME find a fine one,0,0,0,0,0
i wanna get into anime so unacceptable but i CANNOT for the LIFE OF ME find a fine one,0,0,0,0,0
i wanna get into anime so atrocious but i CANNOT for the LIFE OF ME find a acceptable one,0,0,0,0,0
i wanna get into anime so awful but i CANNOT for the LIFE OF ME find a acceptable one,0,0,0,0,0
i wanna get into anime so cheap but i CANNOT for the LIFE OF ME find a acceptable one,0,0,0,0,0
i wanna get into anime so crummy but i CANNOT for the LIFE OF ME find a acceptable one,0,0,0,0,0
i wanna get into anime so dreadful but i CANNOT for the LIFE OF ME find a acceptable one,0,0,0,0,0
i wanna get into anime so lousy but i CANNOT for the LIFE OF ME find a acceptable one,0,0,0,0,0
i wanna get into anime so poor but i CANNOT for the LIFE OF ME find a acceptable one,0,0,0,0,0
i wanna get into anime so rough but i CANNOT for the LIFE OF ME find a acceptable one,0,0,0,0,0
i wanna get into anime so sad but i CANNOT for the LIFE OF ME find a acceptable one,0,0,0,0,0
i wanna get into anime so unacceptable but i CANNOT for the LIFE OF ME find a acceptable one,0,0,0,0,0
i wanna get into anime so atrocious but i CANNOT for the LIFE OF ME find a excellent one,0,0,0,0,0
i wanna get into anime so awful but i CANNOT for the LIFE OF ME find a excellent one,0,0,0,0,0
i wanna get into anime so cheap but i CANNOT for the LIFE OF ME find a excellent one,0,0,0,0,0
i wanna get into anime so crummy but i CANNOT for the LIFE OF ME find a excellent one,0,0,0,0,0
i wanna get into anime so dreadful but i CANNOT for the LIFE OF ME find a excellent one,0,0,0,0,0
i wanna get into anime so lousy but i CANNOT for the LIFE OF ME find a excellent one,0,0,0,0,0
i wanna get into anime so poor but i CANNOT for the LIFE OF ME find a excellent one,0,0,0,0,0
i wanna get into anime so rough but i CANNOT for the LIFE OF ME find a excellent one,0,0,0,0,0
i wanna get into anime so sad but i CANNOT for the LIFE OF ME find a excellent one,0,0,0,0,0
i wanna get into anime so unacceptable but i CANNOT for the LIFE OF ME find a excellent one,0,0,0,0,0
i wanna get into anime so atrocious but i CANNOT for the LIFE OF ME find a exceptional one,0,0,0,0,0
i wanna get into anime so awful but i CANNOT for the LIFE OF ME find a exceptional one,0,0,0,0,0
i wanna get into anime so cheap but i CANNOT for the LIFE OF ME find a exceptional one,0,0,0,0,0
i wanna get into anime so crummy but i CANNOT for the LIFE OF ME find a exceptional one,0,0,0,0,0
i wanna get into anime so dreadful but i CANNOT for the LIFE OF ME find a exceptional one,0,0,0,0,0
i wanna get into anime so lousy but i CANNOT for the LIFE OF ME find a exceptional one,0,0,0,0,0
i wanna get into anime so poor but i CANNOT for the LIFE OF ME find a exceptional one,0,0,0,0,0
i wanna get into anime so rough but i CANNOT for the LIFE OF ME find a exceptional one,0,0,0,0,0
i wanna get into anime so sad but i CANNOT for the LIFE OF ME find a exceptional one,0,0,0,0,0
i wanna get into anime so unacceptable but i CANNOT for the LIFE OF ME find a exceptional one,0,0,0,0,0
i wanna get into anime so atrocious but i CANNOT for the LIFE OF ME find a great one,0,0,0,0,0
i wanna get into anime so awful but i CANNOT for the LIFE OF ME find a great one,0,0,0,0,0
i wanna get into anime so cheap but i CANNOT for the LIFE OF ME find a great one,0,0,0,0,0
i wanna get into anime so crummy but i CANNOT for the LIFE OF ME find a great one,0,0,0,0,0
i wanna get into anime so dreadful but i CANNOT for the LIFE OF ME find a great one,0,0,0,0,0
i wanna get into anime so lousy but i CANNOT for the LIFE OF ME find a great one,0,0,0,0,0
i wanna get into anime so poor but i CANNOT for the LIFE OF ME find a great one,0,0,0,0,0
i wanna get into anime so rough but i CANNOT for the LIFE OF ME find a great one,0,0,0,0,0
i wanna get into anime so sad but i CANNOT for the LIFE OF ME find a great one,0,0,0,0,0
i wanna get into anime so unacceptable but i CANNOT for the LIFE OF ME find a great one,0,0,0,0,0
i wanna get into anime so atrocious but i CANNOT for the LIFE OF ME find a marvelous one,0,0,0,0,0
i wanna get into anime so awful but i CANNOT for the LIFE OF ME find a marvelous one,0,0,0,0,0
i wanna get into anime so cheap but i CANNOT for the LIFE OF ME find a marvelous one,0,0,0,0,0
i wanna get into anime so crummy but i CANNOT for the LIFE OF ME find a marvelous one,0,0,0,0,0
i wanna get into anime so dreadful but i CANNOT for the LIFE OF ME find a marvelous one,0,0,0,0,0
i wanna get into anime so lousy but i CANNOT for the LIFE OF ME find a marvelous one,0,0,0,0,0
i wanna get into anime so poor but i CANNOT for the LIFE OF ME find a marvelous one,0,0,0,0,0
i wanna get into anime so rough but i CANNOT for the LIFE OF ME find a marvelous one,0,0,0,0,0
i wanna get into anime so sad but i CANNOT for the LIFE OF ME find a marvelous one,0,0,0,0,0
i wanna get into anime so unacceptable but i CANNOT for the LIFE OF ME find a marvelous one,0,0,0,0,0
i wanna get into anime so atrocious but i CANNOT for the LIFE OF ME find a satisfactory one,0,0,0,0,0
i wanna get into anime so awful but i CANNOT for the LIFE OF ME find a satisfactory one,0,0,0,0,0
i wanna get into anime so cheap but i CANNOT for the LIFE OF ME find a satisfactory one,0,0,0,0,0
i wanna get into anime so crummy but i CANNOT for the LIFE OF ME find a satisfactory one,0,0,0,0,0
i wanna get into anime so dreadful but i CANNOT for the LIFE OF ME find a satisfactory one,0,0,0,0,0
i wanna get into anime so lousy but i CANNOT for the LIFE OF ME find a satisfactory one,0,0,0,0,0
i wanna get into anime so poor but i CANNOT for the LIFE OF ME find a satisfactory one,0,0,0,0,0
i wanna get into anime so rough but i CANNOT for the LIFE OF ME find a satisfactory one,0,0,0,0,0
i wanna get into anime so sad but i CANNOT for the LIFE OF ME find a satisfactory one,0,0,0,0,0
i wanna get into anime so unacceptable but i CANNOT for the LIFE OF ME find a satisfactory one,0,0,0,0,0
i wanna get into anime so atrocious but i CANNOT for the LIFE OF ME find a superb one,0,0,0,0,0
i wanna get into anime so awful but i CANNOT for the LIFE OF ME find a superb one,0,0,0,0,0
i wanna get into anime so cheap but i CANNOT for the LIFE OF ME find a superb one,0,0,0,0,0
i wanna get into anime so crummy but i CANNOT for the LIFE OF ME find a superb one,0,0,0,0,0
i wanna get into anime so dreadful but i CANNOT for the LIFE OF ME find a superb one,0,0,0,0,0
i wanna get into anime so lousy but i CANNOT for the LIFE OF ME find a superb one,0,0,0,0,0
i wanna get into anime so poor but i CANNOT for the LIFE OF ME find a superb one,0,0,0,0,0
i wanna get into anime so rough but i CANNOT for the LIFE OF ME find a superb one,0,0,0,0,0
i wanna get into anime so sad but i CANNOT for the LIFE OF ME find a superb one,0,0,0,0,0
i wanna get into anime so unacceptable but i CANNOT for the LIFE OF ME find a superb one,0,0,0,0,0
